1.000,0.775,0.349,0.613,0.766,0.406,0.566,0.540,0.435,0.615,0.435,0.589,0.528,0.444,0.533,0.397,0.343,0.483,0.398,0.457,0.371
0.775,1.000,0.463,0.503,0.761,0.302,0.380,0.489,0.417,0.631,0.417,0.616,0.506,0.331,0.551,0.381,0.329,0.425,0.231,0.476,0.459
0.349,0.463,1.000,0.210,0.637,0.515,0.351,0.357,0.307,0.557,0.307,0.413,0.279,0.488,0.406,0.177,0.291,0.319,0.298,0.668,0.323
0.613,0.503,0.210,1.000,0.378,0.547,0.704,0.612,0.591,0.638,0.591,0.476,0.448,0.447,0.355,0.497,0.608,0.491,0.599,0.409,0.493
0.766,0.761,0.637,0.378,1.000,0.566,0.377,0.383,0.388,0.571,0.388,0.445,0.496,0.370,0.472,0.420,0.335,0.361,0.315,0.518,0.436
0.406,0.302,0.515,0.547,0.566,1.000,0.580,0.557,0.467,0.412,0.467,0.274,0.401,0.476,0.261,0.353,0.484,0.400,0.507,0.516,0.389
0.566,0.380,0.351,0.704,0.377,0.580,1.000,0.917,0.547,0.765,0.547,0.436,0.410,0.464,0.249,0.291,0.407,0.408,0.378,0.650,0.330
0.540,0.489,0.357,0.612,0.383,0.557,0.917,1.000,0.486,0.700,0.486,0.571,0.383,0.403,0.345,0.264,0.346,0.515,0.355,0.626,0.276
0.435,0.417,0.307,0.591,0.388,0.467,0.547,0.486,1.000,0.661,1.000,0.396,0.653,0.558,0.287,0.539,0.560,0.439,0.275,0.400,0.540
0.615,0.631,0.557,0.638,0.571,0.412,0.765,0.700,0.661,1.000,0.661,0.477,0.700,0.593,0.398,0.492,0.595,0.471,0.411,0.684,0.522
0.435,0.417,0.307,0.591,0.388,0.467,0.547,0.486,1.000,0.661,1.000,0.396,0.653,0.558,0.287,0.539,0.560,0.439,0.275,0.400,0.540
0.589,0.616,0.413,0.476,0.445,0.274,0.436,0.571,0.396,0.477,0.396,1.000,0.391,0.377,0.422,0.423,0.195,0.395,0.363,0.530,0.127
0.528,0.506,0.279,0.448,0.496,0.401,0.410,0.383,0.653,0.700,0.653,0.391,1.000,0.700,0.518,0.764,0.763,0.614,0.314,0.468,0.593
0.444,0.331,0.488,0.447,0.370,0.476,0.464,0.403,0.558,0.593,0.558,0.377,0.700,1.000,0.436,0.630,0.657,0.575,0.325,0.400,0.600
0.533,0.551,0.406,0.355,0.472,0.261,0.249,0.345,0.287,0.398,0.287,0.422,0.518,0.436,1.000,0.444,0.618,0.726,0.465,0.490,0.241
0.397,0.381,0.177,0.497,0.420,0.353,0.291,0.264,0.539,0.492,0.539,0.423,0.764,0.630,0.444,1.000,0.689,0.619,0.383,0.447,0.699
0.343,0.329,0.291,0.608,0.335,0.484,0.407,0.346,0.560,0.595,0.560,0.195,0.763,0.657,0.618,0.689,1.000,0.656,0.671,0.464,0.601
0.483,0.425,0.319,0.491,0.361,0.400,0.408,0.515,0.439,0.471,0.439,0.395,0.614,0.575,0.726,0.619,0.656,1.000,0.458,0.449,0.624
0.398,0.231,0.298,0.599,0.315,0.507,0.378,0.355,0.275,0.411,0.275,0.363,0.314,0.325,0.465,0.383,0.671,0.458,1.000,0.484,0.191
0.457,0.476,0.668,0.409,0.518,0.516,0.650,0.626,0.400,0.684,0.400,0.530,0.468,0.400,0.490,0.447,0.464,0.449,0.484,1.000,0.355
0.371,0.459,0.323,0.493,0.436,0.389,0.330,0.276,0.540,0.522,0.540,0.127,0.593,0.600,0.241,0.699,0.601,0.624,0.191,0.355,1.000
